x,h,shifted_upper_exclusive,theta,y,series,cell,side,bin_index,alpha_lo,alpha_hi,count
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,0,0,0.012500000000000001,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,1,0.012500000000000001,0.025000000000000001,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,2,0.025000000000000001,0.037499999999999999,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,3,0.037499999999999999,0.050000000000000003,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,4,0.050000000000000003,0.0625,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,5,0.0625,0.074999999999999997,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,6,0.074999999999999997,0.087499999999999994,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,7,0.087499999999999994,0.10000000000000001,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,8,0.10000000000000001,0.1125,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,9,0.1125,0.125,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,10,0.125,0.13750000000000001,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,11,0.13750000000000001,0.14999999999999999,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,12,0.14999999999999999,0.16250000000000001,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,13,0.16250000000000001,0.17499999999999999,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,14,0.17499999999999999,0.1875,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,15,0.1875,0.20000000000000001,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,16,0.20000000000000001,0.21249999999999999,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,17,0.21249999999999999,0.22500000000000001,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,18,0.22500000000000001,0.23749999999999999,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,19,0.23749999999999999,0.25,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,20,0.25,0.26250000000000001,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,21,0.26250000000000001,0.27500000000000002,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,22,0.27500000000000002,0.28749999999999998,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,23,0.28749999999999998,0.29999999999999999,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,24,0.29999999999999999,0.3125,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,25,0.3125,0.32500000000000001,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,26,0.32500000000000001,0.33750000000000002,0
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,27,0.33750000000000002,0.34999999999999998,28457
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,28,0.34999999999999998,0.36249999999999999,42685
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,29,0.36249999999999999,0.375,39335
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,30,0.375,0.38750000000000001,40676
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,31,0.38750000000000001,0.40000000000000002,38083
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,32,0.40000000000000002,0.41249999999999998,36083
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,33,0.41249999999999998,0.42499999999999999,39936
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,34,0.42499999999999999,0.4375,38903
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,35,0.4375,0.45000000000000001,36666
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,36,0.45000000000000001,0.46250000000000002,38163
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,37,0.46250000000000002,0.47499999999999998,37514
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,38,0.47499999999999998,0.48749999999999999,35671
100000000,6,200000006,0.34000000000000002,664,PS_right,PS,right,39,0.48749999999999999,0.5,14827
100000000,6,200000006,0.34000000000000002,664,SP_left,SP,left,0,0,0.012500000000000001,0
100000000,6,200000006,0.34000000000000002,664,SP_left,SP,left,1,0.012500000000000001,0.025000000000000001,0
100000000,6,200000006,0.34000000000000002,664,SP_left,SP,left,2,0.025000000000000001,0.037499999999999999,0
100000000,6,200000006,0.34000000000000002,664,SP_left,SP,left,3,0.037499999999999999,0.050000000000000003,0
